"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Feb 1, 2022","1,021.80","1,091.20","1,017.30","1,037.80","1,037.80","87"
"Jan 1, 2022","978.20","1,053.40","924.00","1,019.20","1,019.20","485"
"Dec 1, 2021","934.50","979.10","893.60","964.40","964.40","5,283"
"Nov 1, 2021","1,066.30","1,095.80","926.60","926.60","926.60","415"
"Oct 1, 2021","957.70","1,064.30","949.20","1,019.60","1,019.60","1,071"
"Sep 1, 2021","1,001.70","1,021.20","900.80","960.90","960.90","10,824"
"Jul 1, 2021","1,063.20","1,142.90","1,046.90","1,046.90","1,046.90","932"
"Jun 1, 2021","1,198.40","1,198.40","1,040.10","1,070.50","1,070.50","14,369"
"May 1, 2021","1,227.90","1,263.00","1,167.80","1,180.80","1,180.80","27"
"Apr 1, 2021","1,188.40","1,246.90","1,155.00","1,203.00","1,203.00","491"
"Mar 1, 2021","1,189.60","1,217.90","1,127.10","1,188.50","1,188.50","17,450"
"Feb 1, 2021","1,092.90","1,290.60","1,092.70","1,183.50","1,183.50","989"
"Jan 1, 2021","1,085.40","1,128.50","1,039.60","1,075.80","1,075.80","1,163"
"Dec 1, 2020","1,002.20","1,082.80","1,002.20","1,075.40","1,075.40","6,658"
"Oct 1, 2020","896.00","918.50","840.30","844.60","844.60","1,512"
"Sep 1, 2020","950.50","980.80","837.10","901.00","901.00","9,828"
"Aug 1, 2020","924.90","1,009.60","920.80","935.70","935.70","68"
"Jul 1, 2020","845.00","979.40","817.50","912.20","912.20","988"
"Jun 1, 2020","897.00","897.00","803.90","840.70","840.70","7,191"
"May 1, 2020","769.90","929.90","760.90","870.50","870.50","44"
"Apr 1, 2020","717.00","815.70","708.90","809.50","809.50","67"
"Feb 1, 2020","968.00","1,001.70","862.80","862.80","862.80","19"
"Jan 1, 2020","985.00","1,035.00","956.00","959.20","959.20","296"
"Nov 1, 2019","950.30","950.30","866.60","897.90","897.90","16"
"Oct 1, 2019","879.50","931.80","873.90","930.00","930.00","227"
"Aug 1, 2019","848.50","937.40","839.30","929.60","929.60","37"
"Jul 1, 2019","830.70","883.80","805.20","876.10","876.10","544"
"Jun 1, 2019","819.20","837.60","793.90","835.50","835.50","24,091"
"May 1, 2019","874.20","877.70","788.40","792.60","792.60","14"
"Apr 1, 2019","849.90","907.90","847.80","888.10","888.10","333"
"Mar 1, 2019","861.60","864.40","814.00","848.90","848.90","21,338"
