"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"Dec 1, 2020","2,416.20","2,448.50","2,225.10","2,448.50","2,448.50","169"
"Oct 1, 2020","2,319.00","2,454.00","2,191.40","2,210.30","2,210.30","75"
"Sep 1, 2020","2,277.20","2,399.90","2,207.70","2,321.30","2,321.30","28"
"Aug 1, 2020","2,129.70","2,268.00","2,129.70","2,245.40","2,245.40","3,023"
"Jul 1, 2020","1,909.20","2,348.20","1,906.10","2,135.30","2,135.30","28"
"Jun 1, 2020","1,941.30","2,019.20","1,824.90","1,945.40","1,945.40","87"
"May 1, 2020","1,883.50","2,154.10","1,752.20","1,934.50","1,934.50","1,200"
"Apr 1, 2020","2,169.30","2,213.90","1,887.00","1,952.10","1,952.10","25"
"Feb 1, 2020","2,255.40","2,815.50","2,232.10","2,508.80","2,508.80","2,884"
"Jan 1, 2020","1,927.80","2,348.60","1,927.80","2,246.60","2,246.60","-"
"Nov 1, 2019","1,786.80","1,828.90","1,658.50","1,815.60","1,815.60","6,170"
"Oct 1, 2019","1,632.10","1,794.60","1,631.60","1,758.10","1,758.10","-"
"Aug 1, 2019","1,409.10","1,539.10","1,399.00","1,538.60","1,538.60","4,220"
"Jul 1, 2019","1,539.10","1,584.60","1,503.90","1,519.20","1,519.20","-"
"Jun 1, 2019","1,324.00","1,532.40","1,310.10","1,532.40","1,532.40","160"
"May 1, 2019","1,349.10","1,378.90","1,287.70","1,333.90","1,333.90","4,436"
"Apr 1, 2019","1,395.00","1,452.20","1,333.40","1,387.40","1,387.40","-"
"Mar 1, 2019","1,543.00","1,599.10","1,312.90","1,345.00","1,345.00","106"
"Feb 1, 2019","1,352.00","1,553.00","1,352.00","1,532.00","1,532.00","6,079"
"Jan 1, 2019","1,255.50","1,374.10","1,255.50","1,338.30","1,338.30","8"
"Dec 1, 2018","1,181.00","1,253.90","1,166.10","1,253.90","1,253.90","129"
"Nov 1, 2018","1,098.00","1,198.00","1,098.00","1,168.60","1,168.60","3,587"
"Oct 1, 2018","1,074.40","1,140.80","1,063.50","1,085.10","1,085.10","-"
"Sep 1, 2018","967.80","1,090.80","964.70","1,090.80","1,090.80","92"
"Aug 1, 2018","919.90","980.30","845.20","980.30","980.30","4,862"
"Jun 1, 2018","989.50","1,029.50","938.30","958.30","958.30","97"
"May 1, 2018","938.45","997.90","938.45","988.90","988.90","6,853"
"Mar 1, 2018","1,032.00","1,032.00","944.80","944.80","944.80","84"
"Feb 1, 2018","1,028.65","1,058.05","966.15","1,047.20","1,047.20","6,874"
"Jan 1, 2018","1,090.00","1,112.35","1,027.50","1,027.50","1,027.50","3"
"Dec 1, 2017","1,009.75","1,076.20","990.00","1,073.75","1,073.75","144"
"Nov 1, 2017","999.55","1,023.95","986.25","1,006.60","1,006.60","4,005"
"Sep 1, 2017","939.90","992.20","902.50","937.95","937.95","211"
"Aug 1, 2017","898.40","947.45","879.80","931.95","931.95","6,859"
"Jul 1, 2017","854.75","890.50","837.90","890.50","890.50","34"
"Jun 1, 2017","818.50","903.30","815.35","849.00","849.00","542"
"May 1, 2017","814.30","822.80","758.95","819.85","819.85","10,748"
"Apr 1, 2017","802.55","826.55","770.85","826.55","826.55","10"
"Mar 1, 2017","771.50","815.10","742.65","798.15","798.15","409"
